,SourceID,reps_x,reps_y,file_loc
0,AHZ2000ap3,0.8910097,9.274502,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000ap3_300_300_3.jpeg
1,4000712889196,10.388833,9.276383,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712889196.jpeg
2,4000710658615,9.866855,9.465714,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710658615.jpeg
3,AHZ2000ow7,-2.635982,8.699954,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000ow7.jpeg
4,4111276917,-0.34080485,11.282601,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4111276917.jpeg
5,AHZ2001eeo,0.82171685,12.99965,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001eeo.jpeg
6,AHZ2001pwy,-3.3071632,13.076734,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001pwy_300_300_3.jpeg
7,4000708699555,2.6984718,8.315634,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708699555.jpeg
8,AHZ2000f00,-1.8278615,8.141105,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000f00_300_300_3.jpeg
9,AHZ2000cvx,-3.227441,7.3780847,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000cvx_300_300_3.jpeg
10,4104009568,5.003754,11.871186,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4104009568.jpeg
11,4000712927379,10.920233,11.0136595,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712927379.jpeg
12,4503828415,4.1622877,12.800497,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4503828415.jpeg
13,AHZ2000obz,-0.08550488,7.644345,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000obz_300_300_3.jpeg
14,AHZ2000uck,-1.816523,6.538685,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000uck_300_300_3.jpeg
15,4000714436425,11.118864,9.582005,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000714436425.jpeg
16,AHZ2001qys,0.45951307,13.033124,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001qys.jpeg
17,AHZ20018fm,0.15985928,12.324195,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20018fm_300_300_3.jpeg
18,4000712885329,9.883029,9.723482,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712885329.jpeg
19,97876689,3.6297193,9.672404,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/97876689.jpeg
20,AHZ20014mi,-2.0981925,6.086584,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20014mi_300_300_3.jpeg
21,AHZ2000s3q,-1.8564981,7.779774,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000s3q_300_300_3.jpeg
22,4556350850,1.6867228,10.438428,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4556350850.jpeg
23,107349903,0.52231514,12.899186,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/107349903.jpeg
24,AGZ00083dz,-0.55561215,9.7816925,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AGZ00083dz.jpeg
25,AHZ2001lml,0.23098223,7.921277,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001lml_300_300_3.jpeg
26,4000712910612,11.798171,10.962749,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712910612.jpeg
