,SourceID,RA,Dec,file_loc
0,AHZ2000ap3,150.3053182,1.8976633,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ap3_300_300_3.jpeg
1,4000712889196,11.4864402,41.9962016,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712889196.jpeg
2,4000710658615,11.4642217,42.1513209,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710658615.jpeg
3,AHZ2000ow7,150.53574609999998,2.1374021,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ow7.jpeg
4,4111276917,344.677271,-34.824124299999994,/media/team_workspaces/astronomaly-project/images/18k-sample/4111276917.jpeg
5,AHZ2001eeo,150.52143769999998,2.6848266,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001eeo.jpeg
6,AHZ2001pwy,150.2266431,1.9988427,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001pwy_300_300_3.jpeg
7,4000708699555,3.5769013,-30.3794802,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708699555.jpeg
8,AHZ2000f00,149.5213534,1.8820809,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000f00_300_300_3.jpeg
9,AHZ2000cvx,149.9128502,1.8361463,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000cvx_300_300_3.jpeg
10,4104009568,265.2189851,-53.6818686,/media/team_workspaces/astronomaly-project/images/18k-sample/4104009568.jpeg
11,4000712927379,11.4738561,42.007949200000006,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712927379.jpeg
12,4503828415,276.04261560000003,-30.2743571,/media/team_workspaces/astronomaly-project/images/18k-sample/4503828415.jpeg
13,AHZ2000obz,150.5039822,2.215193,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000obz_300_300_3.jpeg
14,AHZ2000uck,149.6204767,2.1775655,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000uck_300_300_3.jpeg
15,4000714436425,10.9960771,41.4142394,/media/team_workspaces/astronomaly-project/images/18k-sample/4000714436425.jpeg
16,AHZ2001qys,150.54703899999998,2.3741204,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001qys.jpeg
17,AHZ20018fm,150.0925167,2.4819247,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20018fm_300_300_3.jpeg
18,4000712885329,11.4797482,41.9948669,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712885329.jpeg
19,97876689,,,/media/team_workspaces/astronomaly-project/images/18k-sample/97876689.jpeg
20,AHZ20014mi,150.7228964,2.5306922,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20014mi_300_300_3.jpeg
21,AHZ2000s3q,150.05539009999998,2.2061212,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000s3q_300_300_3.jpeg
22,4556350850,197.867167,-1.3469818,/media/team_workspaces/astronomaly-project/images/18k-sample/4556350850.jpeg
23,107349903,,,/media/team_workspaces/astronomaly-project/images/18k-sample/107349903.jpeg
24,AGZ00083dz,53.078480400000004,-27.8786488,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00083dz.jpeg
25,AHZ2001lml,150.0826463,2.8851375,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001lml_300_300_3.jpeg
26,4000712910612,11.476946,42.0027909,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712910612.jpeg
27,AHZ2000fct,149.5417039,1.8013757,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000fct_300_300_3.jpeg
28,4503828541,276.0556524,-30.273441,/media/team_workspaces/astronomaly-project/images/18k-sample/4503828541.jpeg
29,AHZ2000mcg,149.604616,2.0012092,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000mcg_300_300_3.jpeg
30,GDS_9726,53.186268999999996,-27.822996999999997,/media/team_workspaces/astronomaly-project/images/18k-sample/GDS_9726.jpeg
31,AHZ2000vdb,150.759576,2.3431773,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000vdb.jpeg
32,AHZ200071b,149.597092,1.7895849,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200071b_300_300_3.jpeg
33,4000713478344,11.5490307,42.1661523,/media/team_workspaces/astronomaly-project/images/18k-sample/4000713478344.jpeg
34,AHZ20010an,149.9532722,2.3965533,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20010an_300_300_3.jpeg
35,AHZ2000k54,149.92666459999998,2.0884939,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000k54.jpeg
36,4177576125,279.11949460000005,-23.8901311,/media/team_workspaces/astronomaly-project/images/18k-sample/4177576125.jpeg
37,AHZ2001fjq,150.3790064,2.6691787,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001fjq_300_300_3.jpeg
38,60640042,,,/media/team_workspaces/astronomaly-project/images/18k-sample/60640042.jpeg
39,AHZ2000uuk,149.4716435,2.2596726,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000uuk.jpeg
40,4000712939667,11.4709353,42.0115943,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712939667.jpeg
41,GDS_12426,53.10834000000001,-27.79764500000001,/media/team_workspaces/astronomaly-project/images/18k-sample/GDS_12426.jpeg
42,4503991447,150.2154748,2.198787,/media/team_workspaces/astronomaly-project/images/18k-sample/4503991447.jpeg
43,4000713489797,11.5500867,42.1715014,/media/team_workspaces/astronomaly-project/images/18k-sample/4000713489797.jpeg
44,AHZ2001s1g,149.643629,2.4599865,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001s1g_300_300_3.jpeg
45,4000709691763,109.38570590000002,37.7319017,/media/team_workspaces/astronomaly-project/images/18k-sample/4000709691763.jpeg
46,4000710629559,11.4787479,42.1337789,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710629559.jpeg
47,AHZ2000vqh,150.6080655,2.4260281000000004,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000vqh.jpeg
48,AGZ00084nj,53.1373569,-27.761573,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00084nj.jpeg
49,AHZ2001ps6,150.4674605,2.0545884,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001ps6_300_300_3.jpeg
50,4000895306159,150.0766791,2.6459884,/media/team_workspaces/astronomaly-project/images/18k-sample/4000895306159.jpeg
51,4000708700498,189.1223689,62.410971200000006,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708700498.jpeg
52,AHZ20019oa,149.92056609999997,2.4880996,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20019oa_300_300_3.jpeg
53,AGZ00080yp,189.3294842,62.3595244,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00080yp.jpeg
54,4177573777,279.118856,-23.9009944,/media/team_workspaces/astronomaly-project/images/18k-sample/4177573777.jpeg
55,4000712886493,11.4554114,41.9952396,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712886493.jpeg
56,4000712963186,11.4410978,42.0193819,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712963186.jpeg
57,4000709692577,109.3576751,37.7761069,/media/team_workspaces/astronomaly-project/images/18k-sample/4000709692577.jpeg
58,AHZ2000xqw,150.3762793,2.4132003,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000xqw_300_300_3.jpeg
